coverage,risk,accuracy,abstain_threshold
0.2065,0.5786924939467313,0.4213075060532687,0.4036919075871569
0.207,0.5772946859903382,0.4227053140096618,0.4038936506080398
0.2075,0.5783132530120482,0.42168674698795183,0.40395358871072184
0.208,0.5793269230769231,0.42067307692307687,0.404307290163061
0.2085,0.5779376498800959,0.4220623501199041,0.4044849697221999
0.209,0.5789473684210527,0.42105263157894735,0.4045537377802255
0.2095,0.5799522673031027,0.4200477326968973,0.40463328181885083
0.21,0.580952380952381,0.419047619047619,0.40509127682364837
0.2105,0.5819477434679335,0.41805225653206646,0.4056373733790722
0.211,0.580568720379147,0.419431279620853,0.40608809445104416
0.2115,0.5815602836879432,0.4184397163120568,0.4061890200784387
0.212,0.5801886792452831,0.41981132075471694,0.40621007314312113
0.2125,0.5811764705882353,0.4188235294117647,0.40667397777231096
0.213,0.5821596244131455,0.4178403755868545,0.4073421364705275
0.2135,0.5831381733021077,0.4168618266978923,0.40767359610422693
0.214,0.5841121495327103,0.4158878504672897,0.4077017726404322
0.2145,0.5827505827505828,0.4172494172494172,0.4081949526599587
0.215,0.5837209302325581,0.4162790697674419,0.4082795400673693
0.2155,0.5823665893271461,0.41763341067285387,0.4084994393472429
0.216,0.5810185185185185,0.4189814814814815,0.4088148782066083
0.2165,0.5796766743648961,0.4203233256351039,0.4096544119784277
0.217,0.5783410138248848,0.4216589861751152,0.40974490892494486
0.2175,0.5770114942528736,0.42298850574712643,0.4097533401069069
0.218,0.5779816513761468,0.42201834862385323,0.4097750171416587
0.2185,0.5766590389016019,0.42334096109839814,0.4098553344263879
0.219,0.5776255707762558,0.42237442922374424,0.41020105337084467
0.2195,0.5763097949886105,0.42369020501138954,0.41020420054179857
0.22,0.5772727272727273,0.42272727272727273,0.4103585721490031
0.2205,0.5782312925170068,0.4217687074829932,0.41045739108122614
0.221,0.579185520361991,0.420814479638009,0.4106590539886173
0.2215,0.5801354401805869,0.41986455981941306,0.41073695174811453
0.222,0.5788288288288288,0.4211711711711712,0.4108189401190703
0.2225,0.5797752808988764,0.4202247191011236,0.41093260640434265
0.223,0.57847533632287,0.42152466367713004,0.41114516434788634
0.2235,0.5771812080536913,0.42281879194630867,0.41135802420151935
0.224,0.5758928571428571,0.4241071428571429,0.4113769480665117
0.2245,0.576837416481069,0.423162583518931,0.41165560696914655
0.225,0.5777777777777777,0.4222222222222223,0.4117270142372084
0.2255,0.5764966740576497,0.4235033259423503,0.4118097095983763
0.226,0.5752212389380531,0.4247787610619469,0.41187043988077565
0.2265,0.5739514348785872,0.42604856512141276,0.4119412636221639
0.227,0.5726872246696035,0.42731277533039647,0.4120266389846646
