coverage,accuracy
0.363,0.4696969696969697
0.3635,0.469050894085282
0.364,0.4697802197802198
0.3645,0.4691358024691358
0.365,0.46986301369863015
0.3655,0.47058823529411764
0.366,0.4713114754098361
0.3665,0.47203274215552526
0.367,0.4727520435967303
0.3675,0.47346938775510206
0.368,0.47282608695652173
0.3685,0.4721845318860244
0.369,0.4715447154471545
0.3695,0.4722598105548038
0.37,0.472972972972973
0.3705,0.47233468286099867
0.371,0.4716981132075472
0.3715,0.4724091520861373
0.372,0.4717741935483871
0.3725,0.4711409395973154
0.373,0.4718498659517426
0.3735,0.4725568942436412
0.374,0.47192513368983957
0.3745,0.472630173564753
0.375,0.4733333333333334
0.3755,0.47270306258322237
0.376,0.473404255319149
0.3765,0.47410358565737054
0.377,0.4748010610079576
0.3775,0.4754966887417219
0.378,0.47619047619047616
0.3785,0.47688243064729197
0.379,0.4762532981530343
0.3795,0.47694334650856385
0.38,0.4776315789473684
0.3805,0.47700394218134035
0.381,0.47637795275590555
0.3815,0.47706422018348627
0.382,0.4777486910994765
0.3825,0.4784313725490196
0.383,0.47911227154047
0.3835,0.4797913950456323
0.384,0.48046875
0.3845,0.48114434330299094
0.385,0.4818181818181818
0.3855,0.4811932555123216
0.386,0.4818652849740933
0.3865,0.48124191461836996
0.387,0.48062015503875966
0.3875,0.4812903225806452
0.388,0.48067010309278346
0.3885,0.48005148005148
0.389,0.4794344473007712
0.3895,0.4801026957637997
0.39,0.4807692307692307
0.3905,0.4814340588988476
0.391,0.4820971867007673
0.3915,0.48275862068965514
0.392,0.48341836734693877
0.3925,0.48280254777070064
0.393,0.48346055979643765
0.3935,0.48411689961880555
0.394,0.48477157360406087
0.3945,0.48542458808618505
0.395,0.48607594936708864
0.3955,0.48672566371681414
0.396,0.48611111111111116
0.3965,0.4867591424968474
0.397,0.4874055415617129
0.3975,0.4880503144654088
0.398,0.4886934673366834
0.3985,0.4880803011292346
0.399,0.48746867167919794
0.3995,0.4881101376720901
0.4,0.48875
0.4005,0.4881398252184769
0.401,0.48753117206982544
0.4015,0.4881693648816936
0.402,0.48756218905472637
0.4025,0.48819875776397514
0.403,0.488833746898263
0.4035,0.48946716232961585
0.404,0.48886138613861385
0.4045,0.48949320148331277
0.405,0.4901234567901235
0.4055,0.4895191122071517
0.406,0.49014778325123154
